accepted, E_tot
43, -580.395000
43, -580.395000
43, -580.395000
43, -580.395000
43, -580.395000
44, -580.083000
44, -580.083000
44, -580.083000
45, -580.083000
45, -580.083000
45, -580.083000
45, -580.083000
45, -580.083000
45, -580.083000
45, -580.083000
45, -580.083000
45, -580.083000
45, -580.083000
45, -580.083000
46, -580.044000
46, -580.044000
47, -579.732000
47, -579.732000
47, -579.732000
47, -579.732000
47, -579.732000
47, -579.732000
47, -579.732000
48, -579.732000
48, -579.732000
48, -579.732000
48, -579.732000
48, -579.732000
48, -579.732000
48, -579.732000
49, -579.732000
49, -579.732000
49, -579.732000
49, -579.732000
49, -579.732000
49, -579.732000
49, -579.732000
49, -579.732000
49, -579.732000
50, -579.420000
50, -579.420000
50, -579.420000
50, -579.420000
50, -579.420000
50, -579.420000
50, -579.420000
50, -579.420000
50, -579.420000
50, -579.420000
50, -579.420000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
51, -579.147000
52, -578.835000
52, -578.835000
52, -578.835000
52, -578.835000
52, -578.835000
52, -578.835000
52, -578.835000
53, -578.601000
53, -578.601000
53, -578.601000
53, -578.601000
53, -578.601000
53, -578.601000
53, -578.601000
53, -578.601000
53, -578.601000
53, -578.601000
53, -578.601000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
54, -578.328000
55, -578.328000
55, -578.328000
55, -578.328000
55, -578.328000
55, -578.328000
55, -578.328000
55, -578.328000
55, -578.328000
55, -578.328000
56, -578.328000
57, -578.055000
58, -578.016000
58, -578.016000
58, -578.016000
59, -578.055000
59, -578.055000
59, -578.055000
59, -578.055000
59, -578.055000
59, -578.055000
59, -578.055000
60, -577.782000
60, -577.782000
60, -577.782000
60, -577.782000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
61, -577.821000
62, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
63, -577.509000
64, -577.275000
64, -577.275000
64, -577.275000
64, -577.275000
64, -577.275000
64, -577.275000
64, -577.275000
64, -577.275000
64, -577.275000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
65, -576.963000
66, -576.963000
66, -576.963000
66, -576.963000
66, -576.963000
66, -576.963000
66, -576.963000
66, -576.963000
66, -576.963000
66, -576.963000
66, -576.963000
66, -576.963000
66, -576.963000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
67, -577.002000
68, -577.002000
68, -577.002000
69, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
70, -576.690000
71, -576.690000
71, -576.690000
72, -576.690000
72, -576.690000
72, -576.690000
72, -576.690000
72, -576.690000
72, -576.690000
72, -576.690000
72, -576.690000
72, -576.690000
73, -576.729000
73, -576.729000
73, -576.729000
74, -576.729000
74, -576.729000
74, -576.729000
75, -576.417000
75, -576.417000
76, -576.183000
76, -576.183000
76, -576.183000
76, -576.183000
76, -576.183000
76, -576.183000
76, -576.183000
76, -576.183000
76, -576.183000
76, -576.183000
76, -576.183000
76, -576.183000
76, -576.183000
77, -575.871000
77, -575.871000
77, -575.871000
77, -575.871000
77, -575.871000
77, -575.871000
78, -575.871000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
79, -575.832000
80, -575.520000
80, -575.520000
80, -575.520000
80, -575.520000
80, -575.520000
80, -575.520000
80, -575.520000
80, -575.520000
80, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
81, -575.520000
82, -575.325000
82, -575.325000
82, -575.325000
82, -575.325000
82, -575.325000
82, -575.325000
82, -575.325000
