N, Var_U, Var_CV, Var_P, Var_R
19788, -0.017491, 0.226941, -0.168346, -0.017491
19839, -0.019568, 0.226693, -0.174281, -0.019568
19890, -0.016069, 0.226461, -0.180788, -0.016069
19941, -0.011210, 0.226264, -0.186371, -0.011210
19992, -0.004482, 0.226137, -0.190855, -0.004482
20043, 0.000565, 0.226053, -0.195068, 0.000565
20094, 0.003314, 0.225984, -0.198300, 0.003314
20145, 0.007048, 0.225931, -0.200811, 0.007048
20196, 0.013464, 0.225881, -0.203296, 0.013464
20247, 0.013046, 0.225820, -0.206645, 0.013046
20298, 0.011969, 0.225709, -0.209847, 0.011969
20349, 0.013466, 0.225542, -0.213507, 0.013466
20400, 0.018123, 0.225317, -0.216273, 0.018123
20451, 0.019088, 0.225032, -0.217823, 0.019088
20502, 0.015559, 0.224699, -0.217819, 0.015559
20553, 0.009790, 0.224340, -0.218125, 0.009790
20604, -0.000995, 0.224005, -0.219028, -0.000995
20655, -0.008459, 0.223695, -0.219469, -0.008459
20706, -0.009265, 0.223331, -0.219426, -0.009265
20757, -0.010297, 0.222899, -0.220387, -0.010297
20808, -0.013735, 0.222408, -0.220577, -0.013735
20859, -0.013322, 0.221866, -0.220549, -0.013322
20910, -0.004753, 0.221270, -0.219596, -0.004753
20961, 0.004422, 0.220639, -0.217354, 0.004422
21012, 0.008676, 0.219975, -0.215385, 0.008676
21063, 0.009501, 0.219274, -0.215450, 0.009501
21114, 0.012719, 0.218531, -0.215249, 0.012719
21165, 0.019685, 0.217739, -0.216876, 0.019685
21216, 0.021342, 0.216896, -0.219362, 0.021342
21267, 0.016696, 0.216001, -0.221198, 0.016696
21318, 0.011312, 0.215060, -0.222548, 0.011312
21369, 0.003647, 0.214071, -0.223948, 0.003647
21420, -0.009318, 0.213029, -0.225797, -0.009318
21471, -0.011570, 0.211937, -0.228500, -0.011570
21522, -0.008018, 0.210800, -0.231291, -0.008018
21573, -0.001887, 0.209627, -0.235108, -0.001887
21624, 0.006971, 0.208438, -0.238464, 0.006971
21675, 0.015604, 0.207275, -0.241998, 0.015604
21726, 0.015877, 0.206161, -0.244557, 0.015877
21777, 0.017811, 0.205044, -0.247076, 0.017811
21828, 0.023226, 0.203945, -0.249952, 0.023226
21879, 0.032149, 0.202861, -0.251380, 0.032149
21930, 0.040260, 0.201783, -0.253194, 0.040260
21981, 0.049097, 0.200758, -0.256501, 0.049097
22032, 0.057469, 0.199784, -0.258621, 0.057469
22083, 0.065070, 0.198909, -0.260356, 0.065070
22134, 0.068276, 0.198130, -0.262565, 0.068276
22185, 0.071934, 0.197370, -0.264673, 0.071934
22236, 0.071811, 0.196587, -0.265184, 0.071811
22287, 0.064318, 0.195768, -0.263394, 0.064318
22338, 0.056431, 0.194923, -0.259607, 0.056431
22389, 0.050704, 0.194055, -0.255449, 0.050704
22440, 0.046854, 0.193148, -0.251172, 0.046854
22491, 0.043933, 0.192191, -0.249493, 0.043933
22542, 0.044654, 0.191183, -0.249334, 0.044654
22593, 0.044410, 0.190121, -0.248745, 0.044410
22644, 0.036982, 0.189006, -0.247157, 0.036982
22695, 0.025533, 0.187842, -0.245540, 0.025533
22746, 0.011571, 0.186638, -0.242920, 0.011571
22797, -0.002799, 0.185406, -0.238725, -0.002799
22848, -0.012914, 0.184181, -0.235220, -0.012914
22899, -0.021914, 0.182982, -0.231903, -0.021914
22950, -0.024797, 0.181807, -0.228950, -0.024797
23001, -0.024349, 0.180633, -0.225690, -0.024349
23052, -0.025097, 0.179470, -0.222771, -0.025097
23103, -0.025099, 0.178306, -0.220977, -0.025099
23154, -0.024001, 0.177157, -0.219052, -0.024001
23205, -0.023324, 0.176040, -0.216480, -0.023324
23256, -0.023631, 0.174991, -0.215077, -0.023631
23307, -0.030396, 0.173956, -0.214478, -0.030396
23358, -0.036036, 0.172913, -0.213215, -0.036036
23409, -0.043449, 0.171865, -0.213720, -0.043449
23460, -0.058103, 0.170813, -0.215268, -0.058103
23511, -0.070779, 0.169762, -0.216425, -0.070779
23562, -0.082891, 0.168713, -0.217601, -0.082891
23613, -0.093039, 0.167664, -0.220119, -0.093039
23664, -0.096837, 0.166612, -0.225210, -0.096837
23715, -0.100766, 0.165560, -0.231821, -0.100766
23766, -0.103594, 0.164509, -0.237954, -0.103594
23817, -0.106934, 0.163462, -0.244586, -0.106934
23868, -0.109414, 0.162412, -0.251565, -0.109414
23919, -0.111783, 0.161346, -0.259456, -0.111783
23970, -0.115486, 0.160249, -0.267525, -0.115486
24021, -0.119104, 0.159108, -0.277349, -0.119104
24072, -0.127204, 0.157927, -0.286840, -0.127204
24123, -0.135560, 0.156709, -0.294198, -0.135560
24174, -0.146521, 0.155450, -0.301412, -0.146521
24225, -0.152363, 0.154152, -0.308062, -0.152363
24276, -0.156443, 0.152812, -0.316062, -0.156443
24327, -0.159983, 0.151430, -0.322959, -0.159983
24378, -0.158798, 0.150004, -0.330303, -0.158798
24429, -0.145928, 0.148541, -0.337953, -0.145928
24480, -0.130500, 0.147062, -0.345882, -0.130500
24531, -0.112545, 0.145579, -0.353677, -0.112545
24582, -0.088827, 0.144089, -0.360033, -0.088827
24633, -0.071378, 0.142590, -0.364444, -0.071378
24684, -0.060842, 0.141091, -0.369927, -0.060842
24735, -0.051413, 0.139610, -0.377512, -0.051413
24786, -0.044352, 0.138166, -0.384650, -0.044352
24837, -0.038496, 0.136749, -0.391909, -0.038496
24888, -0.035064, 0.135339, -0.399326, -0.035064
24939, -0.023204, 0.133930, -0.404671, -0.023204
24990, -0.008860, 0.132533, -0.407345, -0.008860
25041, 0.008364, 0.131141, -0.408557, 0.008364
25092, 0.024176, 0.129738, -0.408747, 0.024176
25143, 0.033042, 0.128319, -0.408633, 0.033042
25194, 0.039885, 0.126892, -0.407201, 0.039885
25245, 0.047701, 0.125459, -0.405079, 0.047701
25296, 0.052775, 0.124002, -0.403258, 0.052775
25347, 0.059459, 0.122516, -0.400852, 0.059459
25398, 0.059838, 0.121083, -0.398007, 0.059838
25449, 0.053287, 0.119782, -0.396410, 0.053287
25500, 0.051036, 0.118694, -0.394691, 0.051036
25551, 0.047697, 0.117853, -0.391452, 0.047697
25602, 0.042741, 0.117213, -0.387648, 0.042741
25653, 0.035783, 0.116673, -0.382748, 0.035783
25704, 0.035809, 0.116181, -0.378256, 0.035809
25755, 0.041394, 0.115708, -0.373111, 0.041394
25806, 0.048291, 0.115270, -0.367474, 0.048291
25857, 0.050771, 0.114890, -0.362348, 0.050771
25908, 0.048300, 0.114522, -0.356470, 0.048300
25959, 0.040020, 0.114141, -0.349625, 0.040020
26010, 0.026544, 0.113721, -0.344936, 0.026544
26061, 0.014045, 0.113261, -0.341673, 0.014045
26112, -0.000153, 0.112761, -0.337804, -0.000153
26163, -0.017599, 0.112215, -0.333621, -0.017599
26214, -0.033459, 0.111629, -0.330186, -0.033459
26265, -0.048858, 0.110996, -0.326650, -0.048858
26316, -0.063584, 0.110317, -0.322044, -0.063584
26367, -0.071186, 0.109590, -0.315614, -0.071186
26418, -0.079931, 0.108817, -0.309018, -0.079931
26469, -0.086425, 0.108011, -0.302896, -0.086425
26520, -0.092433, 0.107183, -0.296324, -0.092433
26571, -0.103261, 0.106351, -0.290639, -0.103261
26622, -0.116576, 0.105520, -0.286022, -0.116576
26673, -0.127123, 0.104694, -0.280826, -0.127123
26724, -0.130436, 0.103869, -0.273836, -0.130436
26775, -0.128079, 0.102994, -0.266532, -0.128079
26826, -0.124762, 0.102059, -0.258477, -0.124762
26877, -0.124677, 0.101074, -0.249972, -0.124677
26928, -0.123294, 0.100048, -0.242030, -0.123294
26979, -0.122216, 0.098967, -0.234661, -0.122216
27030, -0.114666, 0.097841, -0.228437, -0.114666
27081, -0.105784, 0.096719, -0.221678, -0.105784
27132, -0.095469, 0.095644, -0.214923, -0.095469
27183, -0.084664, 0.094621, -0.208573, -0.084664
27234, -0.081466, 0.093661, -0.201615, -0.081466
27285, -0.090088, 0.092758, -0.193439, -0.090088
27336, -0.098225, 0.091888, -0.185380, -0.098225
27387, -0.100175, 0.090998, -0.177587, -0.100175
27438, -0.101754, 0.090079, -0.170575, -0.101754
27489, -0.103861, 0.089126, -0.165021, -0.103861
27540, -0.106962, 0.088137, -0.160358, -0.106962
27591, -0.110407, 0.087111, -0.156385, -0.110407
27642, -0.110263, 0.086052, -0.153784, -0.110263
27693, -0.101792, 0.084953, -0.152560, -0.101792
27744, -0.090321, 0.083817, -0.152623, -0.090321
27795, -0.083663, 0.082655, -0.153273, -0.083663
27846, -0.074270, 0.081452, -0.154268, -0.074270
27897, -0.060350, 0.080205, -0.155773, -0.060350
27948, -0.049225, 0.078911, -0.158734, -0.049225
27999, -0.036900, 0.077571, -0.161756, -0.036900
28050, -0.031212, 0.076193, -0.164717, -0.031212
28101, -0.028840, 0.074768, -0.167016, -0.028840
28152, -0.029835, 0.073286, -0.166535, -0.029835
28203, -0.038693, 0.071751, -0.166076, -0.038693
28254, -0.049127, 0.070158, -0.166305, -0.049127
28305, -0.056947, 0.068498, -0.166583, -0.056947
28356, -0.062903, 0.066766, -0.167071, -0.062903
28407, -0.068065, 0.064971, -0.167837, -0.068065
28458, -0.065613, 0.063105, -0.168555, -0.065613
28509, -0.052870, 0.061169, -0.170101, -0.052870
28560, -0.041085, 0.059173, -0.171565, -0.041085
28611, -0.030633, 0.057128, -0.173313, -0.030633
28662, -0.018689, 0.055044, -0.175891, -0.018689
28713, -0.014635, 0.052948, -0.177967, -0.014635
28764, -0.008223, 0.050841, -0.180333, -0.008223
28815, 0.001188, 0.048711, -0.180755, 0.001188
28866, 0.014275, 0.046549, -0.179876, 0.014275
28917, 0.021437, 0.044350, -0.178957, 0.021437
28968, 0.020871, 0.042115, -0.178576, 0.020871
