U, C_V, P, R
0.666364, 0.890783, 0.781845, 0.666364
0.666272, 0.890731, 0.781758, 0.666272
0.666180, 0.890678, 0.781671, 0.666180
0.666086, 0.890625, 0.781585, 0.666086
0.665994, 0.890573, 0.781498, 0.665994
0.665902, 0.890520, 0.781412, 0.665902
0.665808, 0.890467, 0.781325, 0.665808
0.665715, 0.890415, 0.781239, 0.665715
0.665620, 0.890362, 0.781153, 0.665620
0.665525, 0.890310, 0.781067, 0.665525
0.665429, 0.890257, 0.780980, 0.665429
0.665333, 0.890204, 0.780894, 0.665333
0.665237, 0.890152, 0.780808, 0.665237
0.665142, 0.890099, 0.780722, 0.665142
0.665045, 0.890046, 0.780636, 0.665045
0.664948, 0.889994, 0.780550, 0.664948
0.664851, 0.889941, 0.780463, 0.664851
0.664754, 0.889889, 0.780376, 0.664754
0.664659, 0.889836, 0.780290, 0.664659
0.664565, 0.889783, 0.780203, 0.664565
0.664472, 0.889731, 0.780117, 0.664472
0.664376, 0.889678, 0.780030, 0.664376
0.664282, 0.889625, 0.779944, 0.664282
0.664188, 0.889573, 0.779858, 0.664188
0.664094, 0.889520, 0.779771, 0.664094
0.663999, 0.889467, 0.779685, 0.663999
0.663904, 0.889415, 0.779597, 0.663904
0.663810, 0.889362, 0.779510, 0.663810
0.663716, 0.889309, 0.779423, 0.663716
0.663622, 0.889257, 0.779335, 0.663622
0.663530, 0.889204, 0.779248, 0.663530
0.663439, 0.889151, 0.779161, 0.663439
0.663350, 0.889098, 0.779075, 0.663350
0.663258, 0.889046, 0.778988, 0.663258
0.663167, 0.888993, 0.778902, 0.663167
0.663075, 0.888940, 0.778817, 0.663075
0.662984, 0.888888, 0.778731, 0.662984
0.662892, 0.888835, 0.778645, 0.662892
0.662804, 0.888782, 0.778560, 0.662804
0.662716, 0.888730, 0.778475, 0.662716
0.662629, 0.888677, 0.778390, 0.662629
0.662544, 0.888624, 0.778306, 0.662544
0.662459, 0.888571, 0.778221, 0.662459
0.662374, 0.888519, 0.778136, 0.662374
0.662288, 0.888466, 0.778051, 0.662288
0.662204, 0.888413, 0.777966, 0.662204
0.662120, 0.888361, 0.777881, 0.662120
0.662037, 0.888308, 0.777796, 0.662037
0.661953, 0.888255, 0.777711, 0.661953
0.661868, 0.888202, 0.777626, 0.661868
0.661783, 0.888150, 0.777541, 0.661783
0.661699, 0.888097, 0.777456, 0.661699
0.661615, 0.888044, 0.777371, 0.661615
0.661531, 0.887991, 0.777286, 0.661531
0.661448, 0.887939, 0.777201, 0.661448
0.661364, 0.887886, 0.777117, 0.661364
0.661281, 0.887833, 0.777032, 0.661281
0.661199, 0.887780, 0.776948, 0.661199
0.661117, 0.887728, 0.776863, 0.661117
0.661035, 0.887675, 0.776778, 0.661035
0.660952, 0.887622, 0.776693, 0.660952
0.660868, 0.887569, 0.776608, 0.660868
0.660784, 0.887516, 0.776523, 0.660784
0.660701, 0.887464, 0.776439, 0.660701
0.660619, 0.887411, 0.776355, 0.660619
0.660539, 0.887358, 0.776272, 0.660539
0.660460, 0.887305, 0.776188, 0.660460
0.660381, 0.887253, 0.776105, 0.660381
0.660302, 0.887200, 0.776021, 0.660302
0.660223, 0.887147, 0.775938, 0.660223
0.660144, 0.887094, 0.775854, 0.660144
0.660063, 0.887041, 0.775769, 0.660063
0.659983, 0.886989, 0.775684, 0.659983
0.659903, 0.886936, 0.775600, 0.659903
0.659822, 0.886883, 0.775515, 0.659822
0.659743, 0.886830, 0.775431, 0.659743
0.659664, 0.886777, 0.775346, 0.659664
0.659586, 0.886724, 0.775261, 0.659586
0.659510, 0.886672, 0.775177, 0.659510
0.659432, 0.886619, 0.775092, 0.659432
0.659356, 0.886566, 0.775008, 0.659356
0.659277, 0.886513, 0.774924, 0.659277
0.659198, 0.886460, 0.774839, 0.659198
0.659118, 0.886407, 0.774755, 0.659118
0.659037, 0.886354, 0.774670, 0.659037
0.658958, 0.886302, 0.774586, 0.658958
0.658880, 0.886249, 0.774500, 0.658880
0.658801, 0.886196, 0.774414, 0.658801
0.658721, 0.886143, 0.774329, 0.658721
0.658641, 0.886090, 0.774244, 0.658641
0.658561, 0.886037, 0.774159, 0.658561
0.658480, 0.885984, 0.774074, 0.658480
0.658400, 0.885932, 0.773989, 0.658400
0.658321, 0.885879, 0.773904, 0.658321
0.658243, 0.885826, 0.773819, 0.658243
0.658165, 0.885773, 0.773735, 0.658165
0.658088, 0.885720, 0.773651, 0.658088
0.658011, 0.885667, 0.773568, 0.658011
0.657936, 0.885614, 0.773485, 0.657936
0.657860, 0.885561, 0.773403, 0.657860
0.657785, 0.885509, 0.773320, 0.657785
0.657711, 0.885456, 0.773238, 0.657711
0.657639, 0.885403, 0.773157, 0.657639
0.657565, 0.885350, 0.773074, 0.657565
0.657490, 0.885297, 0.772992, 0.657490
0.657415, 0.885244, 0.772909, 0.657415
0.657339, 0.885191, 0.772827, 0.657339
0.657264, 0.885138, 0.772744, 0.657264
0.657189, 0.885086, 0.772662, 0.657189
0.657112, 0.885033, 0.772579, 0.657112
0.657037, 0.884980, 0.772497, 0.657037
0.656965, 0.884927, 0.772415, 0.656965
0.656892, 0.884874, 0.772332, 0.656892
0.656820, 0.884821, 0.772250, 0.656820
0.656748, 0.884769, 0.772168, 0.656748
0.656675, 0.884716, 0.772086, 0.656675
0.656603, 0.884663, 0.772004, 0.656603
0.656530, 0.884610, 0.771923, 0.656530
0.656458, 0.884557, 0.771842, 0.656458
0.656385, 0.884505, 0.771761, 0.656385
0.656313, 0.884452, 0.771681, 0.656313
0.656238, 0.884399, 0.771600, 0.656238
0.656162, 0.884346, 0.771518, 0.656162
0.656085, 0.884293, 0.771436, 0.656085
0.656009, 0.884241, 0.771355, 0.656009
0.655931, 0.884188, 0.771273, 0.655931
0.655853, 0.884135, 0.771191, 0.655853
0.655777, 0.884083, 0.771109, 0.655777
0.655702, 0.884030, 0.771027, 0.655702
0.655624, 0.883977, 0.770944, 0.655624
0.655547, 0.883924, 0.770861, 0.655547
0.655470, 0.883872, 0.770777, 0.655470
0.655392, 0.883819, 0.770693, 0.655392
0.655315, 0.883766, 0.770609, 0.655315
0.655237, 0.883713, 0.770525, 0.655237
0.655159, 0.883661, 0.770442, 0.655159
0.655083, 0.883608, 0.770359, 0.655083
0.655007, 0.883555, 0.770276, 0.655007
0.654929, 0.883503, 0.770193, 0.654929
0.654852, 0.883450, 0.770109, 0.654852
0.654773, 0.883397, 0.770027, 0.654773
0.654692, 0.883344, 0.769943, 0.654692
0.654611, 0.883292, 0.769859, 0.654611
0.654531, 0.883239, 0.769776, 0.654531
0.654450, 0.883186, 0.769693, 0.654450
0.654369, 0.883134, 0.769609, 0.654369
0.654291, 0.883081, 0.769527, 0.654291
0.654213, 0.883028, 0.769444, 0.654213
0.654134, 0.882976, 0.769362, 0.654134
0.654056, 0.882923, 0.769280, 0.654056
0.653977, 0.882870, 0.769198, 0.653977
0.653898, 0.882818, 0.769116, 0.653898
0.653820, 0.882765, 0.769035, 0.653820
0.653742, 0.882712, 0.768953, 0.653742
0.653666, 0.882660, 0.768872, 0.653666
0.653589, 0.882607, 0.768790, 0.653589
0.653513, 0.882554, 0.768710, 0.653513
0.653436, 0.882502, 0.768629, 0.653436
0.653359, 0.882449, 0.768548, 0.653359
0.653284, 0.882396, 0.768466, 0.653284
0.653208, 0.882344, 0.768385, 0.653208
0.653132, 0.882291, 0.768304, 0.653132
0.653056, 0.882238, 0.768223, 0.653056
0.652981, 0.882186, 0.768142, 0.652981
0.652905, 0.882133, 0.768061, 0.652905
0.652830, 0.882080, 0.767979, 0.652830
0.652754, 0.882027, 0.767898, 0.652754
0.652679, 0.881975, 0.767817, 0.652679
0.652602, 0.881922, 0.767735, 0.652602
0.652523, 0.881869, 0.767652, 0.652523
0.652445, 0.881817, 0.767569, 0.652445
0.652367, 0.881764, 0.767485, 0.652367
0.652289, 0.881711, 0.767401, 0.652289
0.652213, 0.881659, 0.767317, 0.652213
0.652137, 0.881606, 0.767234, 0.652137
0.652063, 0.881553, 0.767150, 0.652063
0.651988, 0.881500, 0.767067, 0.651988
0.651912, 0.881448, 0.766983, 0.651912
0.651837, 0.881395, 0.766900, 0.651837
0.651761, 0.881342, 0.766816, 0.651761
0.651686, 0.881290, 0.766733, 0.651686
0.651611, 0.881237, 0.766649, 0.651611
0.651536, 0.881184, 0.766566, 0.651536
0.651463, 0.881131, 0.766483, 0.651463
0.651390, 0.881079, 0.766399, 0.651390
0.651317, 0.881026, 0.766316, 0.651317
0.651244, 0.880973, 0.766233, 0.651244
0.651171, 0.880921, 0.766150, 0.651171
0.651098, 0.880868, 0.766066, 0.651098
0.651023, 0.880815, 0.765983, 0.651023
0.650949, 0.880762, 0.765900, 0.650949
0.650874, 0.880710, 0.765816, 0.650874
0.650799, 0.880657, 0.765732, 0.650799
0.650722, 0.880604, 0.765649, 0.650722
0.650647, 0.880551, 0.765566, 0.650647
0.650571, 0.880499, 0.765483, 0.650571
0.650495, 0.880446, 0.765400, 0.650495
0.650420, 0.880393, 0.765317, 0.650420
0.650345, 0.880340, 0.765234, 0.650345
0.650270, 0.880288, 0.765152, 0.650270
0.650195, 0.880235, 0.765069, 0.650195
0.650117, 0.880182, 0.764986, 0.650117
0.650040, 0.880129, 0.764903, 0.650040
0.649964, 0.880076, 0.764820, 0.649964
0.649888, 0.880024, 0.764737, 0.649888
0.649812, 0.879971, 0.764654, 0.649812
0.649737, 0.879918, 0.764571, 0.649737
0.649661, 0.879865, 0.764488, 0.649661
0.649585, 0.879812, 0.764405, 0.649585
0.649509, 0.879760, 0.764322, 0.649509
0.649432, 0.879707, 0.764239, 0.649432
0.649356, 0.879654, 0.764155, 0.649356
0.649280, 0.879601, 0.764071, 0.649280
0.649203, 0.879548, 0.763987, 0.649203
0.649126, 0.879496, 0.763903, 0.649126
0.649048, 0.879443, 0.763819, 0.649048
0.648971, 0.879390, 0.763736, 0.648971
0.648892, 0.879337, 0.763652, 0.648892
0.648813, 0.879284, 0.763568, 0.648813
0.648736, 0.879231, 0.763485, 0.648736
0.648660, 0.879179, 0.763401, 0.648660
0.648583, 0.879126, 0.763319, 0.648583
0.648507, 0.879073, 0.763236, 0.648507
0.648430, 0.879020, 0.763154, 0.648430
0.648352, 0.878967, 0.763071, 0.648352
0.648273, 0.878914, 0.762989, 0.648273
0.648193, 0.878861, 0.762906, 0.648193
0.648112, 0.878809, 0.762823, 0.648112
0.648030, 0.878756, 0.762740, 0.648030
0.647947, 0.878703, 0.762657, 0.647947
0.647864, 0.878650, 0.762574, 0.647864
0.647780, 0.878597, 0.762491, 0.647780
0.647696, 0.878544, 0.762408, 0.647696
0.647612, 0.878491, 0.762325, 0.647612
0.647529, 0.878438, 0.762241, 0.647529
0.647446, 0.878385, 0.762157, 0.647446
0.647363, 0.878332, 0.762073, 0.647363
0.647279, 0.878280, 0.761990, 0.647279
0.647194, 0.878227, 0.761905, 0.647194
0.647109, 0.878174, 0.761821, 0.647109
0.647024, 0.878121, 0.761737, 0.647024
0.646939, 0.878068, 0.761653, 0.646939
0.646854, 0.878015, 0.761569, 0.646854
0.646770, 0.877962, 0.761485, 0.646770
0.646686, 0.877909, 0.761401, 0.646686
0.646602, 0.877856, 0.761317, 0.646602
0.646519, 0.877803, 0.761234, 0.646519
0.646437, 0.877750, 0.761150, 0.646437
0.646355, 0.877698, 0.761067, 0.646355
0.646272, 0.877645, 0.760984, 0.646272
0.646190, 0.877592, 0.760901, 0.646190
0.646108, 0.877539, 0.760817, 0.646108
0.646027, 0.877486, 0.760734, 0.646027
0.645946, 0.877433, 0.760650, 0.645946
0.645867, 0.877380, 0.760567, 0.645867
0.645787, 0.877327, 0.760484, 0.645787
0.645709, 0.877274, 0.760400, 0.645709
0.645632, 0.877221, 0.760317, 0.645632
0.645557, 0.877168, 0.760233, 0.645557
0.645481, 0.877115, 0.760150, 0.645481
0.645405, 0.877062, 0.760067, 0.645405
0.645330, 0.877010, 0.759985, 0.645330
0.645256, 0.876957, 0.759902, 0.645256
0.645182, 0.876904, 0.759819, 0.645182
0.645106, 0.876851, 0.759736, 0.645106
0.645030, 0.876798, 0.759653, 0.645030
0.644953, 0.876745, 0.759569, 0.644953
0.644876, 0.876692, 0.759486, 0.644876
0.644797, 0.876639, 0.759402, 0.644797
0.644721, 0.876586, 0.759318, 0.644721
0.644644, 0.876534, 0.759235, 0.644644
0.644567, 0.876481, 0.759151, 0.644567
0.644490, 0.876428, 0.759067, 0.644490
0.644413, 0.876375, 0.758983, 0.644413
0.644336, 0.876322, 0.758900, 0.644336
0.644259, 0.876269, 0.758816, 0.644259
0.644182, 0.876216, 0.758733, 0.644182
0.644106, 0.876164, 0.758650, 0.644106
0.644031, 0.876111, 0.758567, 0.644031
0.643955, 0.876058, 0.758484, 0.643955
0.643879, 0.876005, 0.758400, 0.643879
0.643804, 0.875952, 0.758317, 0.643804
0.643727, 0.875900, 0.758233, 0.643727
0.643649, 0.875847, 0.758149, 0.643649
0.643570, 0.875794, 0.758065, 0.643570
0.643492, 0.875741, 0.757981, 0.643492
0.643413, 0.875689, 0.757896, 0.643413
0.643336, 0.875636, 0.757812, 0.643336
0.643259, 0.875583, 0.757728, 0.643259
0.643184, 0.875530, 0.757644, 0.643184
0.643107, 0.875478, 0.757559, 0.643107
0.643032, 0.875425, 0.757475, 0.643032
0.642957, 0.875372, 0.757390, 0.642957
0.642879, 0.875320, 0.757305, 0.642879
0.642802, 0.875267, 0.757220, 0.642802
0.642724, 0.875214, 0.757133, 0.642724
0.642646, 0.875162, 0.757047, 0.642646
0.642567, 0.875109, 0.756960, 0.642567
0.642489, 0.875056, 0.756873, 0.642489
0.642410, 0.875004, 0.756786, 0.642410
0.642331, 0.874951, 0.756698, 0.642331
0.642253, 0.874898, 0.756611, 0.642253
0.642175, 0.874846, 0.756524, 0.642175
0.642097, 0.874793, 0.756438, 0.642097
0.642020, 0.874740, 0.756351, 0.642020
0.641943, 0.874688, 0.756265, 0.641943
0.641866, 0.874635, 0.756178, 0.641866
0.641791, 0.874583, 0.756092, 0.641791
0.641717, 0.874530, 0.756005, 0.641717
0.641643, 0.874477, 0.755919, 0.641643
0.641568, 0.874425, 0.755833, 0.641568
0.641494, 0.874372, 0.755748, 0.641494
0.641421, 0.874320, 0.755664, 0.641421
0.641347, 0.874267, 0.755579, 0.641347
0.641272, 0.874215, 0.755495, 0.641272
0.641195, 0.874162, 0.755411, 0.641195
0.641117, 0.874110, 0.755327, 0.641117
0.641038, 0.874057, 0.755242, 0.641038
0.640958, 0.874005, 0.755157, 0.640958
0.640879, 0.873952, 0.755072, 0.640879
0.640800, 0.873900, 0.754987, 0.640800
0.640720, 0.873847, 0.754902, 0.640720
0.640640, 0.873795, 0.754818, 0.640640
0.640560, 0.873742, 0.754734, 0.640560
0.640479, 0.873690, 0.754650, 0.640479
0.640398, 0.873637, 0.754566, 0.640398
0.640318, 0.873585, 0.754483, 0.640318
0.640238, 0.873533, 0.754399, 0.640238
0.640157, 0.873480, 0.754315, 0.640157
0.640077, 0.873428, 0.754231, 0.640077
0.639996, 0.873375, 0.754147, 0.639996
0.639913, 0.873323, 0.754062, 0.639913
0.639830, 0.873270, 0.753978, 0.639830
0.639750, 0.873218, 0.753893, 0.639750
0.639670, 0.873165, 0.753809, 0.639670
0.639590, 0.873113, 0.753725, 0.639590
0.639510, 0.873061, 0.753640, 0.639510
0.639432, 0.873008, 0.753555, 0.639432
0.639355, 0.872956, 0.753471, 0.639355
0.639278, 0.872903, 0.753386, 0.639278
0.639202, 0.872851, 0.753303, 0.639202
0.639126, 0.872798, 0.753219, 0.639126
0.639050, 0.872746, 0.753136, 0.639050
0.638974, 0.872694, 0.753052, 0.638974
0.638897, 0.872641, 0.752968, 0.638897
0.638820, 0.872589, 0.752884, 0.638820
0.638744, 0.872536, 0.752800, 0.638744
0.638668, 0.872484, 0.752716, 0.638668
0.638592, 0.872432, 0.752632, 0.638592
0.638517, 0.872379, 0.752548, 0.638517
0.638443, 0.872327, 0.752464, 0.638443
0.638369, 0.872274, 0.752381, 0.638369
0.638296, 0.872222, 0.752298, 0.638296
0.638224, 0.872169, 0.752216, 0.638224
0.638153, 0.872117, 0.752134, 0.638153
0.638081, 0.872065, 0.752051, 0.638081
0.638010, 0.872012, 0.751969, 0.638010
0.637939, 0.871960, 0.751886, 0.637939
0.637867, 0.871907, 0.751803, 0.637867
0.637795, 0.871855, 0.751720, 0.637795
0.637724, 0.871802, 0.751637, 0.637724
0.637654, 0.871750, 0.751555, 0.637654
0.637584, 0.871697, 0.751473, 0.637584
0.637518, 0.871645, 0.751392, 0.637518
0.637451, 0.871593, 0.751310, 0.637451
0.637385, 0.871540, 0.751228, 0.637385
0.637317, 0.871488, 0.751145, 0.637317
0.637248, 0.871435, 0.751063, 0.637248
0.637179, 0.871383, 0.750980, 0.637179
0.637109, 0.871330, 0.750897, 0.637109
0.637039, 0.871278, 0.750814, 0.637039
0.636969, 0.871225, 0.750731, 0.636969
0.636898, 0.871173, 0.750647, 0.636898
0.636826, 0.871120, 0.750563, 0.636826
0.636755, 0.871068, 0.750479, 0.636755
0.636682, 0.871016, 0.750395, 0.636682
0.636609, 0.870963, 0.750311, 0.636609
0.636536, 0.870911, 0.750226, 0.636536
0.636462, 0.870858, 0.750142, 0.636462
0.636387, 0.870806, 0.750057, 0.636387
0.636313, 0.870753, 0.749973, 0.636313
0.636240, 0.870701, 0.749888, 0.636240
0.636168, 0.870648, 0.749804, 0.636168
0.636096, 0.870596, 0.749719, 0.636096
0.636023, 0.870543, 0.749635, 0.636023
0.635951, 0.870491, 0.749551, 0.635951
0.635879, 0.870438, 0.749467, 0.635879
0.635808, 0.870386, 0.749383, 0.635808
0.635737, 0.870334, 0.749299, 0.635737
0.635665, 0.870281, 0.749214, 0.635665
0.635592, 0.870229, 0.749130, 0.635592
0.635520, 0.870176, 0.749046, 0.635520
0.635447, 0.870124, 0.748961, 0.635447
0.635376, 0.870071, 0.748877, 0.635376
0.635306, 0.870019, 0.748792, 0.635306
0.635237, 0.869966, 0.748708, 0.635237
0.635167, 0.869914, 0.748623, 0.635167
0.635098, 0.869861, 0.748539, 0.635098
0.635029, 0.869809, 0.748456, 0.635029
0.634959, 0.869756, 0.748372, 0.634959
0.634887, 0.869704, 0.748288, 0.634887
0.634815, 0.869652, 0.748205, 0.634815
0.634744, 0.869599, 0.748121, 0.634744
0.634673, 0.869547, 0.748037, 0.634673
0.634600, 0.869494, 0.747954, 0.634600
0.634527, 0.869442, 0.747871, 0.634527
0.634454, 0.869389, 0.747788, 0.634454
0.634381, 0.869337, 0.747706, 0.634381
0.634308, 0.869284, 0.747623, 0.634308
0.634235, 0.869232, 0.747540, 0.634235
0.634161, 0.869179, 0.747457, 0.634161
0.634087, 0.869127, 0.747374, 0.634087
0.634014, 0.869074, 0.747290, 0.634014
0.633940, 0.869021, 0.747206, 0.633940
0.633866, 0.868969, 0.747122, 0.633866
0.633793, 0.868916, 0.747038, 0.633793
0.633720, 0.868864, 0.746953, 0.633720
0.633647, 0.868811, 0.746869, 0.633647
0.633576, 0.868759, 0.746784, 0.633576
0.633505, 0.868706, 0.746699, 0.633505
0.633435, 0.868654, 0.746615, 0.633435
0.633365, 0.868601, 0.746531, 0.633365
0.633295, 0.868549, 0.746447, 0.633295
0.633223, 0.868496, 0.746363, 0.633223
0.633152, 0.868443, 0.746279, 0.633152
0.633081, 0.868391, 0.746195, 0.633081
0.633010, 0.868338, 0.746112, 0.633010
0.632940, 0.868286, 0.746029, 0.632940
0.632871, 0.868233, 0.745947, 0.632871
0.632804, 0.868181, 0.745865, 0.632804
0.632737, 0.868128, 0.745784, 0.632737
0.632670, 0.868075, 0.745702, 0.632670
0.632604, 0.868023, 0.745619, 0.632604
0.632538, 0.867970, 0.745537, 0.632538
0.632472, 0.867917, 0.745455, 0.632472
0.632407, 0.867865, 0.745373, 0.632407
0.632342, 0.867812, 0.745291, 0.632342
0.632278, 0.867760, 0.745210, 0.632278
0.632213, 0.867707, 0.745128, 0.632213
0.632151, 0.867654, 0.745048, 0.632151
0.632091, 0.867602, 0.744968, 0.632091
0.632030, 0.867549, 0.744888, 0.632030
0.631971, 0.867496, 0.744809, 0.631971
0.631911, 0.867444, 0.744729, 0.631911
0.631850, 0.867391, 0.744649, 0.631850
0.631788, 0.867338, 0.744569, 0.631788
0.631728, 0.867286, 0.744490, 0.631728
0.631667, 0.867233, 0.744410, 0.631667
0.631606, 0.867180, 0.744331, 0.631606
0.631545, 0.867128, 0.744252, 0.631545
0.631485, 0.867075, 0.744172, 0.631485
0.631423, 0.867022, 0.744093, 0.631423
0.631361, 0.866969, 0.744012, 0.631361
0.631300, 0.866917, 0.743932, 0.631300
0.631237, 0.866864, 0.743852, 0.631237
0.631175, 0.866811, 0.743772, 0.631175
0.631113, 0.866758, 0.743693, 0.631113
0.631051, 0.866706, 0.743613, 0.631051
0.630987, 0.866653, 0.743533, 0.630987
0.630924, 0.866600, 0.743453, 0.630924
0.630861, 0.866547, 0.743373, 0.630861
0.630797, 0.866495, 0.743293, 0.630797
0.630730, 0.866442, 0.743212, 0.630730
0.630663, 0.866389, 0.743131, 0.630663
0.630595, 0.866336, 0.743049, 0.630595
0.630529, 0.866283, 0.742968, 0.630529
0.630463, 0.866231, 0.742887, 0.630463
0.630397, 0.866178, 0.742806, 0.630397
0.630330, 0.866125, 0.742725, 0.630330
0.630264, 0.866072, 0.742644, 0.630264
0.630198, 0.866019, 0.742562, 0.630198
0.630131, 0.865967, 0.742480, 0.630131
0.630063, 0.865914, 0.742398, 0.630063
0.629996, 0.865861, 0.742316, 0.629996
0.629926, 0.865808, 0.742232, 0.629926
0.629856, 0.865755, 0.742150, 0.629856
0.629785, 0.865702, 0.742067, 0.629785
0.629714, 0.865649, 0.741984, 0.629714
0.629642, 0.865596, 0.741901, 0.629642
0.629570, 0.865544, 0.741818, 0.629570
0.629498, 0.865491, 0.741734, 0.629498
0.629425, 0.865438, 0.741651, 0.629425
0.629352, 0.865385, 0.741568, 0.629352
0.629280, 0.865332, 0.741486, 0.629280
0.629209, 0.865279, 0.741403, 0.629209
0.629139, 0.865226, 0.741319, 0.629139
0.629067, 0.865173, 0.741236, 0.629067
0.628996, 0.865120, 0.741152, 0.628996
0.628924, 0.865067, 0.741068, 0.628924
0.628851, 0.865014, 0.740984, 0.628851
0.628779, 0.864961, 0.740900, 0.628779
0.628706, 0.864908, 0.740816, 0.628706
0.628635, 0.864855, 0.740732, 0.628635
0.628563, 0.864802, 0.740648, 0.628563
0.628493, 0.864749, 0.740563, 0.628493
0.628425, 0.864696, 0.740479, 0.628425
0.628358, 0.864643, 0.740396, 0.628358
0.628290, 0.864590, 0.740312, 0.628290
0.628224, 0.864537, 0.740227, 0.628224
0.628155, 0.864484, 0.740142, 0.628155
0.628087, 0.864431, 0.740057, 0.628087
0.628021, 0.864378, 0.739971, 0.628021
0.627953, 0.864325, 0.739886, 0.627953
0.627886, 0.864272, 0.739800, 0.627886
0.627818, 0.864219, 0.739715, 0.627818
0.627749, 0.864166, 0.739630, 0.627749
0.627681, 0.864113, 0.739545, 0.627681
0.627610, 0.864060, 0.739461, 0.627610
0.627539, 0.864007, 0.739376, 0.627539
0.627468, 0.863954, 0.739292, 0.627468
0.627396, 0.863901, 0.739208, 0.627396
0.627324, 0.863848, 0.739123, 0.627324
0.627250, 0.863794, 0.739038, 0.627250
0.627175, 0.863741, 0.738952, 0.627175
0.627102, 0.863688, 0.738866, 0.627102
0.627028, 0.863635, 0.738779, 0.627028
0.626955, 0.863582, 0.738693, 0.626955
0.626883, 0.863529, 0.738607, 0.626883
0.626810, 0.863476, 0.738521, 0.626810
0.626738, 0.863423, 0.738435, 0.626738
0.626667, 0.863370, 0.738349, 0.626667
0.626594, 0.863317, 0.738264, 0.626594
0.626521, 0.863263, 0.738179, 0.626521
0.626448, 0.863210, 0.738094, 0.626448
0.626374, 0.863157, 0.738009, 0.626374
0.626300, 0.863104, 0.737924, 0.626300
0.626227, 0.863051, 0.737839, 0.626227
0.626152, 0.862998, 0.737754, 0.626152
0.626078, 0.862945, 0.737669, 0.626078
0.626002, 0.862892, 0.737584, 0.626002
0.625925, 0.862838, 0.737498, 0.625925
0.625847, 0.862785, 0.737412, 0.625847
0.625771, 0.862732, 0.737326, 0.625771
0.625694, 0.862679, 0.737240, 0.625694
0.625617, 0.862626, 0.737155, 0.625617
0.625538, 0.862573, 0.737069, 0.625538
0.625457, 0.862520, 0.736984, 0.625457
0.625376, 0.862466, 0.736898, 0.625376
0.625296, 0.862413, 0.736813, 0.625296
0.625216, 0.862360, 0.736727, 0.625216
0.625135, 0.862307, 0.736641, 0.625135
0.625054, 0.862254, 0.736556, 0.625054
0.624972, 0.862200, 0.736471, 0.624972
0.624889, 0.862147, 0.736385, 0.624889
0.624805, 0.862094, 0.736298, 0.624805
0.624720, 0.862041, 0.736212, 0.624720
0.624636, 0.861988, 0.736125, 0.624636
0.624552, 0.861935, 0.736038, 0.624552
0.624469, 0.861881, 0.735951, 0.624469
0.624386, 0.861828, 0.735864, 0.624386
0.624303, 0.861775, 0.735778, 0.624303
0.624219, 0.861722, 0.735691, 0.624219
0.624134, 0.861668, 0.735603, 0.624134
0.624047, 0.861615, 0.735515, 0.624047
0.623961, 0.861562, 0.735427, 0.623961
0.623874, 0.861509, 0.735339, 0.623874
0.623787, 0.861455, 0.735252, 0.623787
0.623700, 0.861402, 0.735164, 0.623700
0.623612, 0.861349, 0.735076, 0.623612
0.623524, 0.861296, 0.734989, 0.623524
0.623437, 0.861242, 0.734901, 0.623437
0.623351, 0.861189, 0.734813, 0.623351
0.623264, 0.861136, 0.734725, 0.623264
0.623176, 0.861082, 0.734638, 0.623176
0.623090, 0.861029, 0.734551, 0.623090
0.623004, 0.860976, 0.734464, 0.623004
0.622917, 0.860923, 0.734376, 0.622917
0.622831, 0.860869, 0.734289, 0.622831
0.622744, 0.860816, 0.734202, 0.622744
0.622656, 0.860763, 0.734114, 0.622656
0.622567, 0.860709, 0.734026, 0.622567
0.622477, 0.860656, 0.733937, 0.622477
0.622389, 0.860603, 0.733850, 0.622389
0.622299, 0.860549, 0.733762, 0.622299
0.622210, 0.860496, 0.733674, 0.622210
0.622121, 0.860443, 0.733586, 0.622121
0.622030, 0.860389, 0.733499, 0.622030
0.621940, 0.860336, 0.733411, 0.621940
0.621850, 0.860282, 0.733323, 0.621850
0.621762, 0.860229, 0.733235, 0.621762
0.621673, 0.860176, 0.733147, 0.621673
0.621582, 0.860122, 0.733058, 0.621582
0.621493, 0.860069, 0.732969, 0.621493
0.621403, 0.860015, 0.732881, 0.621403
0.621313, 0.859962, 0.732792, 0.621313
0.621223, 0.859909, 0.732704, 0.621223
0.621132, 0.859855, 0.732616, 0.621132
0.621041, 0.859802, 0.732529, 0.621041
0.620950, 0.859748, 0.732442, 0.620950
0.620861, 0.859695, 0.732354, 0.620861
0.620770, 0.859641, 0.732267, 0.620770
0.620681, 0.859588, 0.732179, 0.620681
0.620593, 0.859535, 0.732091, 0.620593
0.620506, 0.859481, 0.732004, 0.620506
0.620419, 0.859428, 0.731917, 0.620419
0.620332, 0.859374, 0.731829, 0.620332
0.620244, 0.859321, 0.731741, 0.620244
0.620157, 0.859267, 0.731654, 0.620157
0.620069, 0.859214, 0.731567, 0.620069
0.619983, 0.859160, 0.731480, 0.619983
0.619895, 0.859107, 0.731392, 0.619895
0.619807, 0.859053, 0.731304, 0.619807
0.619718, 0.859000, 0.731217, 0.619718
0.619629, 0.858946, 0.731129, 0.619629
0.619540, 0.858893, 0.731042, 0.619540
0.619449, 0.858839, 0.730955, 0.619449
0.619359, 0.858786, 0.730867, 0.619359
0.619269, 0.858732, 0.730780, 0.619269
