U, C_V, P, R
0.912024, 0.981409, 0.961410, 0.912024
0.911861, 0.981364, 0.961327, 0.911861
0.911697, 0.981319, 0.961245, 0.911697
0.911534, 0.981275, 0.961163, 0.911534
0.911372, 0.981230, 0.961082, 0.911372
0.911212, 0.981186, 0.961001, 0.911212
0.911052, 0.981141, 0.960919, 0.911052
0.910891, 0.981096, 0.960838, 0.910891
0.910730, 0.981052, 0.960757, 0.910730
0.910569, 0.981007, 0.960675, 0.910569
0.910408, 0.980963, 0.960593, 0.910408
0.910247, 0.980918, 0.960511, 0.910247
0.910086, 0.980874, 0.960430, 0.910086
0.909925, 0.980829, 0.960348, 0.909925
0.909763, 0.980785, 0.960266, 0.909763
0.909599, 0.980740, 0.960184, 0.909599
0.909435, 0.980696, 0.960102, 0.909435
0.909271, 0.980651, 0.960021, 0.909271
0.909105, 0.980607, 0.959941, 0.909105
0.908940, 0.980562, 0.959859, 0.908940
0.908774, 0.980518, 0.959778, 0.908774
0.908607, 0.980473, 0.959696, 0.908607
0.908440, 0.980429, 0.959614, 0.908440
0.908274, 0.980384, 0.959532, 0.908274
0.908107, 0.980340, 0.959450, 0.908107
0.907942, 0.980296, 0.959369, 0.907942
0.907776, 0.980251, 0.959287, 0.907776
0.907612, 0.980207, 0.959205, 0.907612
0.907448, 0.980162, 0.959123, 0.907448
0.907282, 0.980118, 0.959041, 0.907282
0.907116, 0.980074, 0.958958, 0.907116
0.906950, 0.980029, 0.958875, 0.906950
0.906785, 0.979985, 0.958792, 0.906785
0.906621, 0.979940, 0.958710, 0.906621
0.906456, 0.979896, 0.958627, 0.906456
0.906290, 0.979852, 0.958544, 0.906290
0.906124, 0.979807, 0.958460, 0.906124
0.905960, 0.979763, 0.958376, 0.905960
0.905797, 0.979719, 0.958293, 0.905797
0.905633, 0.979674, 0.958209, 0.905633
0.905470, 0.979630, 0.958126, 0.905470
0.905306, 0.979586, 0.958042, 0.905306
0.905139, 0.979541, 0.957957, 0.905139
0.904973, 0.979497, 0.957871, 0.904973
0.904806, 0.979453, 0.957786, 0.904806
0.904640, 0.979408, 0.957701, 0.904640
0.904474, 0.979364, 0.957615, 0.904474
0.904307, 0.979320, 0.957528, 0.904307
0.904139, 0.979275, 0.957441, 0.904139
0.903972, 0.979231, 0.957354, 0.903972
0.903806, 0.979187, 0.957267, 0.903806
0.903639, 0.979143, 0.957181, 0.903639
0.903471, 0.979098, 0.957094, 0.903471
0.903302, 0.979054, 0.957008, 0.903302
0.903136, 0.979010, 0.956922, 0.903136
0.902969, 0.978966, 0.956836, 0.902969
0.902803, 0.978921, 0.956749, 0.902803
0.902637, 0.978877, 0.956663, 0.902637
0.902472, 0.978833, 0.956576, 0.902472
0.902308, 0.978789, 0.956489, 0.902308
0.902143, 0.978745, 0.956402, 0.902143
0.901979, 0.978700, 0.956315, 0.901979
0.901815, 0.978656, 0.956228, 0.901815
0.901653, 0.978612, 0.956142, 0.901653
0.901490, 0.978568, 0.956055, 0.901490
0.901328, 0.978524, 0.955970, 0.901328
0.901167, 0.978480, 0.955884, 0.901167
0.901003, 0.978435, 0.955799, 0.901003
0.900840, 0.978391, 0.955713, 0.900840
0.900678, 0.978347, 0.955628, 0.900678
0.900515, 0.978303, 0.955544, 0.900515
0.900353, 0.978259, 0.955460, 0.900353
0.900190, 0.978215, 0.955375, 0.900190
0.900028, 0.978171, 0.955291, 0.900028
0.899865, 0.978126, 0.955206, 0.899865
0.899705, 0.978082, 0.955122, 0.899705
0.899544, 0.978038, 0.955037, 0.899544
0.899385, 0.977994, 0.954952, 0.899385
0.899226, 0.977950, 0.954867, 0.899226
0.899067, 0.977906, 0.954782, 0.899067
0.898909, 0.977862, 0.954697, 0.898909
0.898752, 0.977818, 0.954613, 0.898752
0.898595, 0.977774, 0.954527, 0.898595
0.898438, 0.977730, 0.954442, 0.898438
0.898281, 0.977686, 0.954357, 0.898281
0.898126, 0.977642, 0.954272, 0.898126
0.897968, 0.977598, 0.954186, 0.897968
0.897811, 0.977554, 0.954100, 0.897811
0.897653, 0.977510, 0.954014, 0.897653
0.897493, 0.977466, 0.953929, 0.897493
0.897334, 0.977422, 0.953845, 0.897334
0.897175, 0.977378, 0.953760, 0.897175
0.897016, 0.977334, 0.953676, 0.897016
0.896856, 0.977290, 0.953592, 0.896856
0.896698, 0.977246, 0.953509, 0.896698
0.896542, 0.977202, 0.953426, 0.896542
0.896385, 0.977159, 0.953343, 0.896385
0.896229, 0.977115, 0.953261, 0.896229
0.896075, 0.977071, 0.953180, 0.896075
0.895925, 0.977027, 0.953099, 0.895925
0.895774, 0.976983, 0.953018, 0.895774
0.895621, 0.976939, 0.952938, 0.895621
0.895466, 0.976896, 0.952856, 0.895466
0.895312, 0.976852, 0.952774, 0.895312
0.895156, 0.976808, 0.952692, 0.895156
0.895000, 0.976764, 0.952609, 0.895000
0.894844, 0.976720, 0.952526, 0.894844
0.894689, 0.976677, 0.952444, 0.894689
0.894536, 0.976633, 0.952362, 0.894536
0.894383, 0.976589, 0.952280, 0.894383
0.894231, 0.976545, 0.952197, 0.894231
0.894077, 0.976502, 0.952115, 0.894077
0.893924, 0.976458, 0.952033, 0.893924
0.893768, 0.976414, 0.951952, 0.893768
0.893613, 0.976370, 0.951871, 0.893613
0.893458, 0.976327, 0.951789, 0.893458
0.893303, 0.976283, 0.951707, 0.893303
0.893148, 0.976239, 0.951626, 0.893148
0.892994, 0.976195, 0.951544, 0.892994
0.892840, 0.976152, 0.951463, 0.892840
0.892686, 0.976108, 0.951381, 0.892686
0.892532, 0.976065, 0.951299, 0.892532
0.892381, 0.976021, 0.951218, 0.892381
0.892230, 0.975977, 0.951137, 0.892230
0.892078, 0.975934, 0.951056, 0.892078
0.891926, 0.975890, 0.950974, 0.891926
0.891774, 0.975847, 0.950893, 0.891774
0.891624, 0.975803, 0.950811, 0.891624
0.891472, 0.975760, 0.950731, 0.891472
0.891321, 0.975716, 0.950650, 0.891321
0.891171, 0.975673, 0.950569, 0.891171
0.891018, 0.975629, 0.950489, 0.891018
0.890866, 0.975585, 0.950408, 0.890866
0.890714, 0.975542, 0.950327, 0.890714
0.890560, 0.975498, 0.950245, 0.890560
0.890406, 0.975455, 0.950164, 0.890406
0.890254, 0.975411, 0.950082, 0.890254
0.890104, 0.975368, 0.950001, 0.890104
0.889953, 0.975324, 0.949919, 0.889953
0.889801, 0.975281, 0.949837, 0.889801
0.889650, 0.975237, 0.949755, 0.889650
0.889498, 0.975194, 0.949673, 0.889498
0.889346, 0.975150, 0.949590, 0.889346
0.889194, 0.975107, 0.949507, 0.889194
0.889043, 0.975063, 0.949425, 0.889043
0.888891, 0.975020, 0.949343, 0.888891
0.888738, 0.974976, 0.949261, 0.888738
0.888586, 0.974933, 0.949179, 0.888586
0.888433, 0.974889, 0.949096, 0.888433
0.888280, 0.974846, 0.949013, 0.888280
0.888127, 0.974802, 0.948930, 0.888127
0.887973, 0.974759, 0.948847, 0.887973
0.887821, 0.974715, 0.948764, 0.887821
0.887670, 0.974672, 0.948681, 0.887670
0.887520, 0.974628, 0.948598, 0.887520
0.887371, 0.974585, 0.948515, 0.887371
0.887221, 0.974541, 0.948432, 0.887221
