its, t_max, delta_t, its_eq
20000, 20, 0.001000, 10000
E_kin, E_pot, E_tot, <T>, T, <P>, P, a
22.340385, -527.804935, -505.464550, 1063.987282, 675.128663, 0.003829, -0.000307, 4.001874
21.917788, -527.496512, -505.578724, 1059.423310, 662.357729, 0.003781, -0.000331, 4.001873
21.520641, -527.205282, -505.684641, 1054.827047, 650.355919, 0.003735, -0.000356, 4.001871
21.150844, -526.933634, -505.782790, 1050.208753, 639.180602, 0.003689, -0.000383, 4.001869
20.809897, -526.683679, -505.873781, 1045.578736, 628.877166, 0.003644, -0.000413, 4.001867
20.498898, -526.457046, -505.958148, 1040.947214, 619.478742, 0.003600, -0.000445, 4.001864
20.218539, -526.255010, -506.036471, 1036.324193, 611.006246, 0.003556, -0.000480, 4.001862
19.969132, -526.078420, -506.109288, 1031.719352, 603.469147, 0.003512, -0.000520, 4.001859
19.750678, -525.927981, -506.177303, 1027.141964, 596.867436, 0.003470, -0.000564, 4.001856
19.562899, -525.803971, -506.241072, 1022.600826, 591.192760, 0.003427, -0.000611, 4.001853
19.405235, -525.706452, -506.301217, 1018.104200, 586.428126, 0.003385, -0.000663, 4.001850
19.276904, -525.635205, -506.358301, 1013.659769, 582.549957, 0.003343, -0.000719, 4.001846
19.176967, -525.589890, -506.412923, 1009.274619, 579.529846, 0.003301, -0.000780, 4.001842
19.104295, -525.569959, -506.465664, 1004.955209, 577.333683, 0.003260, -0.000845, 4.001837
19.057581, -525.574612, -506.517031, 1000.707356, 575.922003, 0.003219, -0.000914, 4.001833
19.035404, -525.602916, -506.567512, 996.536223, 575.251805, 0.003177, -0.000988, 4.001827
19.036243, -525.653858, -506.617616, 992.446329, 575.277151, 0.003136, -0.001065, 4.001822
19.058492, -525.726390, -506.667899, 988.441552, 575.949506, 0.003095, -0.001146, 4.001816
19.100444, -525.819133, -506.718689, 984.525130, 577.217315, 0.003054, -0.001232, 4.001809
19.160295, -525.930623, -506.770328, 980.699667, 579.026020, 0.003012, -0.001321, 4.001803
19.236168, -526.059444, -506.823276, 976.967137, 581.318905, 0.002971, -0.001414, 4.001795
19.326121, -526.203956, -506.877834, 973.328898, 584.037310, 0.002930, -0.001510, 4.001787
19.428152, -526.362425, -506.934273, 969.785703, 587.120696, 0.002888, -0.001608, 4.001779
19.540198, -526.533009, -506.992811, 966.337712, 590.506730, 0.002846, -0.001710, 4.001770
19.660162, -526.713806, -507.053643, 962.984508, 594.132060, 0.002804, -0.001814, 4.001760
19.785892, -526.902909, -507.117017, 959.725107, 597.931614, 0.002762, -0.001921, 4.001750
19.915159, -527.098150, -507.182991, 956.557966, 601.838085, 0.002720, -0.002029, 4.001739
20.045723, -527.297261, -507.251538, 953.480999, 605.783748, 0.002677, -0.002138, 4.001728
20.175366, -527.498212, -507.322846, 950.491612, 609.701551, 0.002634, -0.002247, 4.001716
20.301891, -527.698622, -507.396731, 947.586729, 613.525166, 0.002591, -0.002357, 4.001703
20.423153, -527.896376, -507.473223, 944.762823, 617.189715, 0.002548, -0.002466, 4.001690
20.537119, -528.089293, -507.552174, 942.015967, 620.633783, 0.002505, -0.002575, 4.001676
20.641876, -528.275288, -507.633412, 939.341879, 623.799543, 0.002461, -0.002682, 4.001661
20.735676, -528.452468, -507.716792, 936.735982, 626.634191, 0.002417, -0.002787, 4.001646
20.816973, -528.618995, -507.802023, 934.193461, 629.090983, 0.002373, -0.002890, 4.001631
20.884404, -528.773269, -507.888865, 931.709324, 631.128766, 0.002329, -0.002990, 4.001614
20.936815, -528.913827, -507.977012, 929.278457, 632.712628, 0.002285, -0.003086, 4.001597
20.973321, -529.039527, -508.066205, 926.895694, 633.815854, 0.002241, -0.003179, 4.001580
20.993327, -529.149379, -508.156052, 924.555892, 634.420417, 0.002197, -0.003267, 4.001562
20.996477, -529.242758, -508.246281, 922.253985, 634.515614, 0.002153, -0.003351, 4.001544
20.982675, -529.319180, -508.336506, 919.985044, 634.098506, 0.002109, -0.003431, 4.001525
20.952100, -529.378486, -508.426386, 917.744337, 633.174543, 0.002065, -0.003505, 4.001506
20.905178, -529.420793, -508.515615, 915.527377, 631.756567, 0.002022, -0.003573, 4.001486
20.842541, -529.446390, -508.603850, 913.329964, 629.863653, 0.001978, -0.003637, 4.001466
20.765065, -529.455807, -508.690742, 911.148227, 627.522331, 0.001935, -0.003695, 4.001445
20.673880, -529.449977, -508.776097, 908.978669, 624.766695, 0.001892, -0.003748, 4.001425
20.570274, -529.429827, -508.859552, 906.818196, 621.635731, 0.001849, -0.003796, 4.001404
20.455678, -529.396572, -508.940894, 904.664125, 618.172613, 0.001807, -0.003838, 4.001382
20.331653, -529.351541, -509.019888, 902.514202, 614.424573, 0.001764, -0.003875, 4.001361
20.199845, -529.296300, -509.096454, 900.366608, 610.441333, 0.001723, -0.003906, 4.001339
20.061968, -529.232251, -509.170283, 898.219951, 606.274662, 0.001681, -0.003933, 4.001317
19.919778, -529.161164, -509.241386, 896.073268, 601.977669, 0.001641, -0.003955, 4.001295
19.775029, -529.084642, -509.309613, 893.926002, 597.603352, 0.001600, -0.003973, 4.001272
19.629445, -529.004400, -509.374955, 891.777986, 593.203762, 0.001560, -0.003987, 4.001250
19.484691, -528.922166, -509.437475, 889.629414, 588.829289, 0.001521, -0.003996, 4.001228
19.342353, -528.839368, -509.497015, 887.480811, 584.527835, 0.001482, -0.004002, 4.001205
19.203921, -528.757701, -509.553780, 885.333004, 580.344392, 0.001444, -0.004005, 4.001183
19.070771, -528.678546, -509.607775, 883.187085, 576.320588, 0.001406, -0.004004, 4.001160
18.944149, -528.603339, -509.659190, 881.044374, 572.494059, 0.001369, -0.004002, 4.001138
18.825151, -528.533219, -509.708068, 878.906385, 568.897924, 0.001332, -0.003997, 4.001115
18.714749, -528.469299, -509.754550, 876.774787, 565.561571, 0.001296, -0.003990, 4.001093
18.613774, -528.412686, -509.798912, 874.651377, 562.510109, 0.001260, -0.003981, 4.001070
18.522835, -528.364095, -509.841260, 872.538025, 559.761912, 0.001225, -0.003970, 4.001048
18.442322, -528.324164, -509.881843, 870.436630, 557.328789, 0.001190, -0.003958, 4.001026
18.372432, -528.293243, -509.920812, 868.349081, 555.216713, 0.001156, -0.003945, 4.001003
18.313168, -528.271624, -509.958455, 866.277217, 553.425760, 0.001123, -0.003931, 4.000981
18.264336, -528.259199, -509.994863, 864.222791, 551.950047, 0.001090, -0.003916, 4.000959
18.225557, -528.255955, -510.030398, 862.187436, 550.778147, 0.001057, -0.003901, 4.000937
18.196276, -528.261381, -510.065105, 860.172635, 549.893259, 0.001026, -0.003885, 4.000915
18.175745, -528.275060, -510.099315, 858.179688, 549.272830, 0.000994, -0.003868, 4.000893
18.163059, -528.296176, -510.133116, 856.209686, 548.889458, 0.000963, -0.003851, 4.000871
18.157191, -528.323849, -510.166657, 854.263499, 548.712120, 0.000933, -0.003834, 4.000850
18.157011, -528.357116, -510.200105, 852.341758, 548.706674, 0.000903, -0.003818, 4.000828
18.161314, -528.394884, -510.233570, 850.444852, 548.836721, 0.000874, -0.003801, 4.000807
18.168865, -528.435973, -510.267109, 848.572926, 549.064891, 0.000845, -0.003786, 4.000785
18.178439, -528.479192, -510.300753, 846.725898, 549.354246, 0.000816, -0.003770, 4.000764
