its, t_max, delta_t, its_eq
20000, 20, 0.001000, 10000
x_1, y_1, z_1, x_2, y_2, z_2, x_3, y_3, z_3, x_4, y_4, z_4
-0.192032, -0.348399, -0.454604, 2.093713, 0.224084, 13.985981, 1.908044, 3.975706, 9.926707, 1.920025, 7.744149, 1.685106
-0.195699, -0.348697, -0.462427, 2.089528, 0.228872, 13.982282, 1.906168, 3.984063, 9.936331, 1.923572, 7.739713, 1.688672
-0.199252, -0.348905, -0.470150, 2.085220, 0.233722, 13.978606, 1.904247, 3.992314, 9.946044, 1.926784, 7.735632, 1.692421
-0.202690, -0.349028, -0.477771, 2.080789, 0.238635, 13.974956, 1.902274, 4.000459, 9.955836, 1.929645, 7.731909, 1.696346
-0.206011, -0.349066, -0.485291, 2.076238, 0.243608, 13.971336, 1.900246, 4.008500, 9.965695, 1.932141, 7.728547, 1.700437
-0.209214, -0.349023, -0.492710, 2.071569, 0.248638, 13.967749, 1.898156, 4.016435, 9.975609, 1.934257, 7.725544, 1.704684
-0.212299, -0.348901, -0.500028, 2.066782, 0.253725, 13.964197, 1.896001, 4.024266, 9.985568, 1.935983, 7.722901, 1.709080
-0.215266, -0.348700, -0.507246, 2.061882, 0.258866, 13.960682, 1.893775, 4.031993, 9.995559, 1.937309, 7.720618, 1.713614
-0.218113, -0.348425, -0.514365, 2.056869, 0.264058, 13.957208, 1.891477, 4.039615, 10.005571, 1.938227, 7.718691, 1.718278
-0.220841, -0.348075, -0.521385, 2.051746, 0.269300, 13.953776, 1.889100, 4.047133, 10.015591, 1.938732, 7.717118, 1.723062
-0.223450, -0.347653, -0.528309, 2.046516, 0.274590, 13.950389, 1.886643, 4.054546, 10.025606, 1.938819, 7.715896, 1.727957
-0.225939, -0.347161, -0.535137, 2.041181, 0.279924, 13.947048, 1.884103, 4.061855, 10.035604, 1.938487, 7.715017, 1.732954
-0.228309, -0.346600, -0.541871, 2.035744, 0.285300, 13.943755, 1.881476, 4.069059, 10.045571, 1.937735, 7.714477, 1.738044
-0.230559, -0.345972, -0.548513, 2.030209, 0.290715, 13.940512, 1.878761, 4.076156, 10.055495, 1.936564, 7.714268, 1.743216
-0.232690, -0.345278, -0.555065, 2.024579, 0.296167, 13.937319, 1.875956, 4.083146, 10.065360, 1.934978, 7.714380, 1.748464
-0.234703, -0.344519, -0.561529, 2.018856, 0.301653, 13.934179, 1.873060, 4.090028, 10.075153, 1.932981, 7.714804, 1.753776
-0.236596, -0.343698, -0.567907, 2.013045, 0.307170, 13.931091, 1.870072, 4.096799, 10.084860, 1.930579, 7.715529, 1.759144
-0.238371, -0.342815, -0.574201, 2.007149, 0.312714, 13.928057, 1.866991, 4.103456, 10.094464, 1.927779, 7.716543, 1.764560
-0.240027, -0.341871, -0.580412, 2.001171, 0.318282, 13.925078, 1.863818, 4.109997, 10.103951, 1.924591, 7.717834, 1.770014
-0.241566, -0.340867, -0.586544, 1.995117, 0.323871, 13.922154, 1.860553, 4.116419, 10.113305, 1.921023, 7.719386, 1.775496
-0.242987, -0.339805, -0.592598, 1.988989, 0.329478, 13.919284, 1.857199, 4.122716, 10.122508, 1.917087, 7.721186, 1.781000
-0.244291, -0.338685, -0.598576, 1.982793, 0.335098, 13.916471, 1.853756, 4.128886, 10.131544, 1.912795, 7.723219, 1.786515
-0.245477, -0.337509, -0.604480, 1.976533, 0.340728, 13.913712, 1.850227, 4.134923, 10.140396, 1.908157, 7.725468, 1.792032
-0.246547, -0.336277, -0.610312, 1.970213, 0.346365, 13.911009, 1.846616, 4.140823, 10.149046, 1.903187, 7.727917, 1.797544
-0.247500, -0.334991, -0.616075, 1.963838, 0.352004, 13.908360, 1.842924, 4.146581, 10.157477, 1.897899, 7.730551, 1.803042
-0.248338, -0.333650, -0.621769, 1.957412, 0.357641, 13.905765, 1.839157, 4.152192, 10.165671, 1.892305, 7.733351, 1.808516
-0.249059, -0.332256, -0.627397, 1.950942, 0.363274, 13.903224, 1.835320, 4.157649, 10.173610, 1.886419, 7.736302, 1.813958
-0.249665, -0.330810, -0.632960, 1.944431, 0.368897, 13.900735, 1.831417, 4.162948, 10.181275, 1.880256, 7.739387, 1.819360
-0.250155, -0.329312, -0.638460, 1.937885, 0.374506, 13.898297, 1.827455, 4.168083, 10.188649, 1.873828, 7.742589, 1.824714
-0.250529, -0.327762, -0.643897, 1.931310, 0.380099, 13.895909, 1.823440, 4.173048, 10.195714, 1.867149, 7.745893, 1.830011
-0.250788, -0.326162, -0.649273, 1.924709, 0.385670, 13.893570, 1.819379, 4.177838, 10.202452, 1.860234, 7.749282, 1.835243
-0.250931, -0.324510, -0.654590, 1.918088, 0.391214, 13.891277, 1.815279, 4.182449, 10.208845, 1.853094, 7.752742, 1.840402
-0.250959, -0.322808, -0.659847, 1.911454, 0.396729, 13.889031, 1.811149, 4.186874, 10.214878, 1.845742, 7.756257, 1.845481
-0.250870, -0.321056, -0.665046, 1.904810, 0.402209, 13.886827, 1.806995, 4.191111, 10.220534, 1.838192, 7.759815, 1.850472
-0.250664, -0.319254, -0.670187, 1.898163, 0.407649, 13.884665, 1.802828, 4.195156, 10.225797, 1.830456, 7.763401, 1.855367
-0.250341, -0.317402, -0.675270, 1.891517, 0.413045, 13.882543, 1.798655, 4.199005, 10.230654, 1.822544, 7.767002, 1.860159
-0.249900, -0.315500, -0.680295, 1.884878, 0.418392, 13.880458, 1.794486, 4.202656, 10.235091, 1.814470, 7.770609, 1.864840
-0.249341, -0.313548, -0.685263, 1.878252, 0.423685, 13.878408, 1.790331, 4.206106, 10.239094, 1.806243, 7.774208, 1.869404
-0.248663, -0.311545, -0.690173, 1.871643, 0.428920, 13.876391, 1.786199, 4.209356, 10.242654, 1.797875, 7.777790, 1.873844
-0.247864, -0.309491, -0.695025, 1.865057, 0.434090, 13.874404, 1.782100, 4.212405, 10.245759, 1.789375, 7.781346, 1.878153
-0.246943, -0.307386, -0.699817, 1.858499, 0.439191, 13.872446, 1.778043, 4.215253, 10.248401, 1.780755, 7.784868, 1.882324
-0.245899, -0.305229, -0.704549, 1.851975, 0.444218, 13.870513, 1.774040, 4.217902, 10.250574, 1.772022, 7.788346, 1.886352
-0.244732, -0.303021, -0.709220, 1.845490, 0.449165, 13.868603, 1.770098, 4.220356, 10.252272, 1.763187, 7.791776, 1.890231
-0.243439, -0.300759, -0.713829, 1.839050, 0.454026, 13.866714, 1.766229, 4.222616, 10.253490, 1.754259, 7.795151, 1.893955
-0.242019, -0.298444, -0.718374, 1.832658, 0.458797, 13.864843, 1.762441, 4.224689, 10.254227, 1.745247, 7.798466, 1.897518
-0.240470, -0.296075, -0.722854, 1.826321, 0.463470, 13.862988, 1.758743, 4.226579, 10.254482, 1.736159, 7.801718, 1.900915
-0.238792, -0.293651, -0.727268, 1.820043, 0.468041, 13.861147, 1.755145, 4.228292, 10.254257, 1.727005, 7.804903, 1.904141
-0.236983, -0.291170, -0.731615, 1.813831, 0.472504, 13.859318, 1.751656, 4.229835, 10.253554, 1.717792, 7.808019, 1.907190
-0.235041, -0.288633, -0.735892, 1.807687, 0.476853, 13.857498, 1.748283, 4.231216, 10.252378, 1.708528, 7.811064, 1.910059
-0.232965, -0.286039, -0.740098, 1.801619, 0.481081, 13.855685, 1.745035, 4.232442, 10.250735, 1.699223, 7.814038, 1.912742
