its, t_max, delta_t, its_eq, -, -, -, -
1000, 10, 0.010000, 0, 0, 0, 0, 0
E_kin [eV], E_pot [eV], E_tot [eV], <T> [K], T [K], <P> [MPa], P [MPa], a [Å]
28.281002, -643.149836, -614.868834, 836.313073, 854.654702, 1581.732292, 1570.387519, 4.030000
28.220361, -643.139299, -614.918938, 836.490590, 852.822106, 1581.501682, 1560.285548, 4.030000
27.345765, -642.210655, -614.864890, 836.383155, 826.391726, 1581.645697, 1595.039127, 4.030000
26.534816, -641.303358, -614.768541, 836.020014, 801.884786, 1582.557256, 1668.243785, 4.030000
27.002297, -641.814957, -614.812660, 835.811599, 816.012103, 1583.754995, 1697.540227, 4.030000
28.081409, -643.008855, -614.927447, 835.943674, 848.622958, 1584.544744, 1660.360614, 4.030000
28.168624, -643.091738, -614.923114, 836.099949, 851.258618, 1584.767387, 1606.363746, 4.030000
27.077839, -641.911758, -614.833919, 835.920101, 818.294990, 1584.784522, 1586.463749, 4.030000
26.003696, -640.771281, -614.767585, 835.419243, 785.834272, 1584.953679, 1601.700197, 4.030000
26.024755, -640.782605, -614.757850, 834.934604, 786.470665, 1585.339537, 1623.925362, 4.030000
27.380139, -642.166177, -614.786038, 834.861034, 827.430527, 1585.751808, 1627.391156, 4.030000
29.096904, -644.060151, -614.963247, 835.292591, 879.311334, 1585.898929, 1600.905272, 4.030000
29.004404, -643.995175, -614.990770, 835.688969, 876.515982, 1586.063499, 1603.014236, 4.030000
27.072555, -641.843932, -614.771377, 835.521791, 818.135294, 1586.917060, 1675.687451, 4.030000
26.011439, -640.710100, -614.698662, 835.055249, 786.068265, 1588.469255, 1751.449671, 4.030000
27.030516, -641.865524, -614.835007, 834.885245, 816.864890, 1589.754374, 1725.977035, 4.030000
28.382857, -643.360722, -614.977864, 835.096797, 857.732768, 1590.243155, 1642.542645, 4.030000
28.240832, -643.138331, -614.897499, 835.265090, 853.440754, 1590.475481, 1615.566770, 4.030000
27.518793, -642.297832, -614.779039, 835.231959, 831.620657, 1590.990146, 1647.088598, 4.030000
27.657456, -642.513368, -614.855911, 835.237176, 835.811079, 1591.578151, 1656.258696, 4.030000
